mouse_identity,time_s,zscore_DA,behavior_active,distance_head_res__head_int,distance_head_res__hind_int,distance_head_int__hind_res,distance_hind_res__hind_int,angle_head_res__head_int_deg,angle_head_res__hind_int_deg,angle_head_int__hind_res_deg,velocity_resident,velocity_intruder,frame_idx,hmm_state,hmm_state_smoothed
n6,184.0,1.0486864441042905,,16.67990373144605,20.843535323077177,20.916328602180933,25.201928519530743,164.9676058955714,142.14854673976504,161.2378311312244,4.449698987170538,8.146858718137132,0,2,0
n6,184.1,1.097889354120105,,17.556956535146277,20.45558036391561,22.26528679614394,25.180868573925142,148.4995020499315,129.03340040635362,142.55563141857846,4.140401614937852,7.552730487373248,1,2,0
n6,184.2,0.8224876430334395,,18.343398786452397,20.07998600652867,23.4530400284582,25.12215166426241,128.37315276363324,114.36002793795558,121.61886168277374,3.543001278057405,6.417508253576839,2,0,0
n6,184.3,0.3264376766948466,,19.04276672061108,19.71909539639533,24.48994700820875,25.02952782479848,106.01988869915328,99.15469371345176,99.59660074994122,2.987988553440388,5.384625017897582,3,0,0
n6,184.4,0.1694591506288707,,19.659575257267203,19.375192320348624,25.38624935221755,24.907599024096957,84.29578592335986,84.59032776843793,79.07855242922724,2.475364609993953,4.452608059390814,4,0,0
n6,184.5,0.3111229498416234,,20.1988876236643,19.050485512739343,26.15208337829707,24.761607449989505,65.35633417485042,71.4838326465296,61.95769598942417,2.005131351243455,3.619433410118864,5,0,0
n6,184.6,0.4001650096992128,,20.66605194025841,18.74710175219384,26.797498675801663,24.5972644921325,49.60690388969189,60.141616933306096,48.388646532571045,1.577292097519414,2.8823338583258766,6,0,0
n6,184.7,0.3100102674013789,,21.06654562964232,18.46708935001805,27.33248504445405,24.420613741151357,36.52770706014917,50.52581761687196,37.62494706544243,1.1918531998781825,2.2376158796398045,7,3,3
n6,184.8,0.353184044296478,,21.40589507148478,18.21243355692001,27.767009629100937,24.237923569171105,25.47776986493443,42.45406710733681,28.83691680795252,0.8488285057413872,1.680688980453818,8,3,3
n6,184.9,0.0862568051641192,,21.68965271663442,17.985085158054797,28.111066277144257,24.055606751733546,15.943347311744787,35.70689082052954,21.370148914018188,0.5482549980464301,1.207079609875915,9,3,3
n6,185.0,-0.1690565319248888,,21.923422379593436,17.78700305910591,28.37473927209176,23.88016610568734,7.537831233571779,30.062207393475603,14.74825886550181,0.2902754289894028,0.8175301443314442,10,3,3
n6,185.1,-0.0459075663013128,,22.11292842459873,17.620210972379944,28.568283593659437,23.718166209593395,0.0446687674833583,25.29838244007226,8.622163617953191,0.0764338062331498,0.5401339423053075,11,3,3
n6,185.2,0.2942138540035289,,22.264127453944248,17.486867391806,28.70222363668772,23.576231879155557,7.065538934328089,21.18806133871269,2.724999678906101,0.0579802814410501,0.8680073977822352,12,3,3
n6,185.3,0.1582028843018593,,22.48359601865637,17.293104056312664,28.915295376562977,23.39835180673511,15.039805639270952,15.736952808944013,4.432824425776829,0.0673078962707541,1.1488040403774922,13,3,3
n6,185.4,-0.1418643914552158,,22.668551334349683,17.16246056508953,29.056437925546348,23.26486192889869,23.756612549586976,8.95304944531199,11.113143460296328,0.3006275358391523,1.0958966351617148,14,3,3
n6,185.5,0.0908176520355107,,22.73921758441148,17.1204788220921,29.09320495851817,23.23046586685672,31.208773895553943,2.0562101340131846,16.918310634803703,0.4843663190797379,1.3673566622823503,15,3,3
n6,185.6,0.0567374203116354,,22.795165817516903,17.239631597822008,29.065516698339,23.31842560250668,37.78565816136191,4.166898224833943,22.403013990652937,0.2923584950174196,2.066089077868905,16,3,3
n6,185.7,-0.1394873898243794,,22.743578547782956,17.37125806402767,29.00701569284323,23.489894754935783,42.03867951491884,7.929274309185558,28.92011857763188,0.5392827225601864,2.956176487071654,17,3,3
n6,185.8,-0.0303451180062109,,22.8017178910971,17.660467087441578,29.34112454102906,24.10508624162908,49.82352825001212,15.301904973547463,37.006389130656544,0.7331363721858384,3.872844990474007,18,3,3
n6,185.9,0.3137882140371783,,22.91189824738769,18.06430406071272,29.549013664230685,24.66480485888026,61.03831886547724,27.73654527585333,45.33227832734104,0.2440710158943848,4.783370315925698,19,0,0
n6,186.0,0.0952426724080311,,22.81197522643885,18.28580980789413,29.66795220913763,25.166881065403658,61.47525002762208,31.821922398336767,52.43022147486502,0.8959771661856066,5.5264994290029765,20,0,0
n6,186.1,0.2845839709533025,,23.04382218477012,18.86601998408724,29.37782059464853,25.2914307523698,67.29825423583245,42.76471285579393,60.8707970521784,0.8508734406641241,6.079444694728872,21,0,0
n6,186.2,0.7060526939781931,,23.37604846222082,19.523441288769583,29.211457225159585,25.51041638800653,72.93641058638254,54.15668269528494,68.40897552041133,0.5924883529092119,6.418991239492369,22,0,0
n6,186.3,0.4500301831757413,,23.829934670404,20.246361693408662,29.18673468648917,25.80551565198556,75.34318163756053,63.12991089945365,72.80747072015075,0.4573804931550088,6.5476746009851405,23,0,0
n6,186.4,-0.093331877283657,,24.320859445928388,20.99199420468508,29.241631619023657,26.16031869170185,76.94268201852712,69.76573551806236,77.11262286286785,0.436305397625621,6.55021562885149,24,0,0
n6,186.5,0.1265185402138719,,24.808548528364668,21.714193505674515,29.37268818537302,26.562073793621344,81.51645010879491,75.26109780724377,83.75295580471459,0.3979181432970489,6.375553457234663,25,0,0
n6,186.6,0.1544274145443498,,25.241412459005517,22.37239325387128,29.507819005306494,26.95737163039859,88.75823084022694,80.45922924660644,92.24285552638304,0.1384112729974896,5.934338425824033,26,0,0
n6,186.7,0.0110071130570131,,25.64345022907944,23.092396991290677,29.62423377534397,27.394412128253013,97.44583574667094,85.45055751210391,101.03058462075704,0.3819087009861017,5.483535407709529,27,0,0
n6,186.8,-0.2473985873196258,,25.951423996520848,23.826197733196693,29.706288441523007,27.8853584548053,106.09193440177044,90.72474631744012,108.48153857586992,0.5844314561543417,5.224217143755675,28,0,0
n6,186.9,-0.2326184281077375,,26.17940945722584,24.56343294506835,29.704104916994616,28.3842375376262,112.7169878964238,96.22310979361043,114.04865502422696,0.4748827299703685,4.931788150586424,29,0,0
n6,187.0,-0.0815803240128432,,26.260487329525603,25.226729296575776,29.62554711995545,28.892028397141065,120.38418032242326,103.2773504215886,120.44829193034866,0.3095967157379138,4.452581200245121,30,0,0
n6,187.1,0.0932521835861909,,26.187596532538148,25.776509495256235,29.44704966790469,29.338707465494902,128.88453796445535,109.7736843920924,128.70319058635886,0.257152143243979,3.985744678096544,31,0,0
n6,187.2,0.2472170494198847,,26.00292617863032,26.217562906341747,29.20896358587242,29.718754129085347,136.18391480560203,115.95010086421796,135.90350715899126,0.287258088091577,3.69965313244782,32,0,0
n6,187.3,0.8014983467954797,,25.76552309478668,26.566390544303875,28.96125813881306,30.05404549452816,143.44474177670006,122.22746335696785,142.97033159772155,0.4134856567637179,3.547839546603397,33,2,2
n6,187.4,1.2128602205314143,,25.456883657765857,26.817233959842486,28.70083521983312,30.337174691761103,152.15752224115178,130.69720892095526,149.5917169682073,0.8819395502425333,3.109680272383756,34,2,2
n6,187.5,0.9391169509730974,,25.2385570621444,27.12379991264168,28.611867837565065,30.78772274237861,163.19110316126125,141.86864137315433,158.3027463130307,1.2587536962241843,2.5036778991295217,35,2,2
n6,187.6,0.8056797525702901,,24.959890452490857,27.34649759240918,28.43100735646981,31.102336768229858,175.00382161595311,151.53385060820867,170.0061379380104,0.9819403822412184,2.1339862715050266,36,2,2
n6,187.7,1.1417203115844532,,24.604994057682447,27.409932092289413,28.250916306812726,31.31926411400521,173.15670814422185,162.0046560195926,178.4104390504929,0.793770202474518,2.0665269522988217,37,2,2
n6,187.8,1.0697764115320574,,24.215192651040763,27.39564987262529,28.23373420467405,31.631377715363136,161.7859111640929,173.23409549428166,168.1928291423909,0.6207309308067013,2.0661788167830992,38,2,2
n6,187.9,0.7872018215589182,,23.551804110928703,27.13304310212695,27.74759977414148,31.49521306761214,152.2673992339138,174.69763786792896,158.395374685921,1.547764814167621,2.156789779436521,39,2,2
n6,188.0,0.8551890448080246,,23.066160581534376,27.037091391454616,27.355458091289066,31.421727506307388,144.269352480968,163.90199571436585,148.62780822786334,1.0435100038074638,1.959410789474786,40,2,2
n6,188.1,1.1301078436466274,,22.667851426495695,26.94429312762169,27.140805734408044,31.43940551986117,137.08098006356124,153.5955767919022,139.6911438849124,0.7065242390383906,1.28780115594788,41,2,2
n6,188.2,0.971089944358456,,22.4252665380829,26.897314894209096,27.138776046497902,31.553996771994395,128.2003058384583,140.9476363247768,131.07490704463598,1.3264944858114116,1.1228396394742874,42,0,0
n6,188.3,1.0354755823482873,,22.15137799519899,26.73932959571056,26.770661917696,31.227193224994156,122.17336969233428,131.92754305441332,123.59675333624568,2.3292844299247406,1.9826188406748688,43,0,0
n6,188.4,1.3624875243484404,,21.752470850372305,26.421166999879738,26.3041145491027,30.775886637198276,117.9457266525385,126.0114449050588,117.1654198507855,0.9786363262756024,3.1530562396991684,44,0,0
n6,188.5,1.17709795745564,,21.88364338383425,26.5353755107376,25.87602002237349,30.32684091612127,112.65653465882669,120.135927997811,112.462452023723,0.5233060331014135,4.134452388976015,45,0,0
n6,188.6,1.1949976649335592,,21.86706677663626,26.40673311076352,25.92887500716849,30.24903157800481,105.9524307951574,114.21177459198935,107.38401711271624,0.3104755779954481,4.876059331972374,46,0,0
n6,188.7,1.4354173511328217,,21.852914984403995,26.137557393975243,25.618495270420016,29.70123766481713,101.80408844512311,111.10470262664552,103.1410519978613,0.7602515985836523,5.462222038727773,47,0,0
n6,188.8,1.52459913306271,,21.862127640235823,25.852040201389503,25.400075962580367,29.19528739968529,100.07312128862289,108.52596177717646,100.8248148716599,0.5534873810784499,5.894149852082123,48,0,0
n6,188.9,1.849337289117644,,21.88289322460784,25.50890576633718,25.28928356855896,28.736470964387525,98.3855494522502,105.73970504402511,99.48746539628333,0.028452266205443,6.097027730010201,49,0,0
n6,189.0,2.228937014377618,,22.040568512252747,25.254764299515774,25.254388374908235,28.329115242406065,95.16906270323624,102.8248374686545,97.48017725617623,0.6084934963178458,5.967856376862804,50,0,0
n6,189.1,2.1987783368481013,,22.19855089160864,25.084050171954257,25.28743942553881,28.071563745911988,91.31181993147636,100.67502999899784,94.65344267860452,0.2611093097430449,5.681976389751154,51,0,0
n6,189.2,2.122149506428144,,22.23448867228336,24.86430652867305,25.255332047874628,27.800718350443983,87.45824757121687,98.41581283389525,91.6609646336908,0.6975637561844615,5.2826861444832165,52,0,0
n6,189.3,1.8217281505824927,,22.121633072814717,24.615950763501807,25.14100697496517,27.544314019582423,87.37842432089121,97.37516139552736,91.27456667023466,1.6718118331161465,4.839121648490097,53,0,0
n6,189.4,1.5408182034668267,,21.79035790346945,24.263918562884445,24.939628977706644,27.308956540338265,91.41822200706838,98.21258745012364,94.25689958489863,2.4093930163629307,4.3664970227658175,54,0,0
n6,189.5,1.540283262543766,,21.38224025804644,23.91947222799297,24.6974529679398,27.13082630232431,98.25057496070347,101.84921304603084,99.55304121017646,2.856046082420466,3.692430107860274,55,0,0
n6,189.6,1.4344602878909305,,20.892627397730223,23.579494722758803,24.420502254602884,27.01132413356886,102.40999830231698,105.68013034305396,102.62593799449722,3.053433210441205,3.119769733990439,56,0,0
n6,189.7,1.1815044345504964,,20.28276623225497,23.21159489063978,24.055451431420742,26.899603359281784,107.65380082624308,111.37418938654446,106.275020086966,2.972639871811448,2.9959345951219687,57,0,0
n6,189.8,1.1663742611925516,,19.60569646373311,22.803150823100065,23.701008749660623,26.82250072217803,112.04332276027571,117.27858381370493,108.82452141382235,3.3173005942938825,3.2425748511882158,58,0,0
n6,189.9,1.1256076597822935,,18.76237341756164,22.249855675047364,23.21365494871774,26.63591548113704,120.65521837585624,126.92091634736931,112.79285138729944,4.424616573343853,3.5627392187084626,59,0,0
n6,190.0,1.0776509823605178,,17.70422197543054,21.45573579978294,22.37078918814581,26.09643234534275,128.91518235322974,136.76057434774935,117.4644687179444,5.12461880825756,3.908033539305664,60,0,0
n6,190.1,1.3532081515569157,,16.59393774769653,20.582058690088985,21.538893276133727,25.52812485409191,138.68283108324164,146.27980095353303,123.2406642888238,5.805994190217729,4.435782274125811,61,0,0
n6,190.2,1.0339880826962151,,15.328777803970778,19.58104831197057,20.433961115117437,24.73283572073733,149.04792800511802,156.60625391536735,130.15809911118285,6.952501331487346,4.914203996666853,62,2,2
n6,190.3,0.7787407765912245,,13.93167574837171,18.507488507578227,18.963211113753182,23.60807910819038,160.89139501461727,169.15386382795742,136.43450977734412,6.211950339638579,5.298920959624745,63,2,2
n6,190.4,0.6047865175509661,,12.795903611865908,17.672545607399186,17.87100556539845,22.84828668526137,165.0837086947397,174.74356734684784,140.9251029622921,4.972038842651237,5.58027827876693,64,2,2
n6,190.5,0.8448028813591338,,11.52385307311894,16.705110424334915,16.817890173672705,22.101412255176808,173.1607346850032,179.03530576234135,148.36257813391992,4.775502614244699,5.823894173644038,65,2,2
n6,190.6,1.4945681935723507,,10.231721443143112,15.68692516658019,15.818611736953557,21.357403479674417,178.45215274283936,173.97302911111703,156.21783424232598,4.10670543757699,6.326777253224702,66,2,2
n6,190.7,1.7997745942977126,,8.997767837309517,14.766698968227162,14.796264446889014,20.645382174188725,170.21373053685488,169.01002760860456,165.07768953520343,3.2242548270205806,6.944945920092741,67,2,2
n6,190.8,1.8105090208724828,,7.773997697278904,13.905750176509516,13.7871181672683,19.992463000167906,166.48460144918135,166.70935036394047,171.6293233963247,2.034047674971222,7.147129492862546,68,2,2
n6,190.9,1.3039916556945843,,6.814452729264082,13.272335357277752,12.893575437223689,19.42284707660924,160.45788115667756,161.0709192894262,177.25601351319582,1.9207992779485492,6.864456320612291,69,2,2
