transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
2014,2013,2014,385.4,2,0,,-0.401519494908121
2021,2020,2021,386.1,0,3,,-0.857954076769638
2052,2051,2052,389.2,3,0,,-0.1948062228475164
2081,2080,2081,392.1,0,3,,0.2943396123607127
2111,2110,2111,395.1,3,0,,0.3234260826935099
2123,2122,2123,396.3,0,2,,-0.1901359990565724
2131,2130,2131,397.1,2,0,,2.5952361878038204
2146,2145,2146,398.6,0,3,,0.8400193592823033
2156,2155,2156,399.6,3,0,,0.4978224090209109
2242,2241,2242,408.2,0,2,,-0.6366519535357658
2284,2283,2284,412.4,2,1,,-1.393398602717173
2324,2323,2324,416.4,1,3,,-0.6219126312316857
2333,2332,2333,417.3,3,0,,-0.3797980695784191
2353,2352,2353,419.3,0,2,,-0.4755862422836224
2369,2368,2369,420.9,2,0,,-0.0920005302625923
2374,2373,2374,421.4,0,2,,-0.5437291520572679
2392,2391,2392,423.2,2,0,,0.6332433613063388
2411,2410,2411,425.1,0,3,,-0.8705347415355895
2445,2444,2445,428.5,3,0,,-0.145751784523563
2486,2485,2486,432.6,0,2,,0.3590995017496936
2505,2504,2505,434.5,2,1,,-0.1396256095875399
2552,2551,2552,439.2,1,0,,-0.5319655810211465
2569,2568,2569,440.9,0,2,,-0.8735762948021324
2610,2609,2610,445.0,2,1,,0.2707153829639149
2615,2614,2615,445.5,1,2,,-0.0291982495207868
2631,2630,2631,447.1,2,1,,-0.143395259677497
2638,2637,2638,447.8,1,0,,0.2139842848310833
2643,2642,2643,448.3,0,2,,-0.806675118469131
2693,2692,2693,453.3,2,0,,-0.5854954735328362
2702,2701,2702,454.2,0,3,,-0.0345418442120029
2716,2715,2716,455.6,3,1,,-0.5804106958084795
2767,2766,2767,460.7,1,2,,-0.5823427443749287
2782,2781,2782,462.2,2,1,,0.1463449777933701
2806,2805,2806,464.6,1,3,,-0.6685939208438991
2825,2824,2825,466.5,3,1,,0.5033279175917994
2837,2836,2837,467.7,1,3,,0.2461270055356721
2851,2850,2851,469.1,3,1,,-0.3251821725870371
2880,2879,2880,472.0,1,3,,-0.2873269047368983
2891,2890,2891,473.1,3,1,,-0.4951732748509929
2894,2893,2894,473.4,1,3,,-0.4361655398636015
2908,2907,2908,474.8,3,1,,0.0617327726465519
2946,2945,2946,478.6,1,2,,-0.0520680804061291
2953,2952,2953,479.3,2,1,,-0.3711275931745047
2973,2972,2973,481.3,1,3,,-1.0213713418529604
2986,2985,2986,482.6,3,1,,-1.413829853968586
3003,3002,3003,484.3,1,3,,-0.9411188393675328
3031,3030,3031,487.1,3,0,,0.3601037528578067
3039,3038,3039,487.9,0,3,,-0.0650780568962101
