state,n_frames,fraction_frames,mean_DA,median_DA,distance_head_res__head_int_mean,distance_head_res__hind_int_mean,distance_head_int__hind_res_mean,distance_hind_res__hind_int_mean,velocity_resident_mean,velocity_intruder_mean,manual_mode,manual_count
0,3697,0.24530555371242785,-0.06478810647162064,-0.2119177411848601,20.073905981325208,19.911594823367878,19.929195321445956,19.751449301229467,2.3949621066615094,3.5152486405999914,,3697
1,4207,0.2791453785415699,-0.056942597228274175,-0.1414595579471556,7.127682544532017,8.929575993852728,8.497513815798754,10.028948895032071,1.6922591440656207,1.8645013357304718,,4207
2,3753,0.24902129918386304,0.05831805456516982,-0.084270467339438,12.222100783185907,12.685885428907186,12.633330819694486,14.497920960199183,1.821734440217373,2.643466527089068,,3753
3,3414,0.22652776856213921,-0.003913843429894427,-0.19430718675941835,13.413705349690561,14.151786419576423,14.142651923983639,13.541069025506117,2.2156321997068296,2.9925363466739996,,3414
