bout_phase,n,mean_DA,median_DA
Short_Term-1,14,0.09845607823249711,0.1163918991586467
Short_Term-2,14,-0.1520625669196908,-0.16061540463359308
Novel-1,14,-0.05680080360037511,-0.11709751538559104
Long_Term-1,13,-0.041539127803202805,0.09082659500476695
