syllable,n,mean_DA,median_DA,std_DA,sem_DA
0,55,0.08394648096622215,0.15846851893324077,0.49750731620318284,0.06708387283172851
2,55,0.20099620011083116,0.2761497998908937,0.702686846111586,0.09475027500063213
3,55,0.10456798521477703,0.14533360368477033,0.4762435984577301,0.06421667371584022
4,55,0.1535211319190685,0.18570999195454538,0.6512542597889847,0.0878151064756668
5,55,-0.060150374594832245,-0.005631279152616718,0.5621980412597564,0.07580676841888637
7,55,-0.03624392248852006,0.017017022272254666,0.5092629773320346,0.06866900585497579
8,55,0.07103445416799282,0.14561506813128372,0.6018075513904197,0.0811477136753523
10,55,0.050593640906692966,0.08463119314396671,0.49388453695917156,0.06659537737811909
12,55,0.15169196474647056,0.2084450178614866,0.6176149586068479,0.08327918402959555
1,55,0.0763703790480531,0.08731244306595701,0.5480314101462432,0.07389654026922676
20,55,-0.07596741919654024,0.1425826057589607,0.653607581233559,0.08813242827451956
18,54,0.04159446981695414,-0.0113950969749871,0.784053047996829,0.10669610549256218
6,54,0.15881893116429333,0.23930519682152476,0.6200782195906496,0.08438195770058618
9,54,0.12834688517611575,0.21846028292042108,0.5939734495558916,0.08082954845403877
23,54,-0.16704456912472565,-0.11068981436015188,0.7173721176176211,0.09762198021461169
27,53,0.15026334835110605,0.046283932049946484,0.6952361115427227,0.09549802435900206
30,53,-0.09251163012529565,-0.1372384440459612,0.6846548675171427,0.0940445787123697
11,53,-0.06707576508857988,-0.023238970711299975,0.6181684869016286,0.0849119719761155
15,52,0.19463842317482222,0.13471172601209086,0.6675303225610707,0.09256980022772911
13,52,0.028122950033227154,0.02631911849076107,0.7491474070218255,0.10388805341915705
16,51,0.16552429206515723,0.11312755827105461,0.9894277205797614,0.13854759317130705
17,50,0.1108911435442079,0.1389435212858503,0.7190005749482864,0.10168203644459196
24,48,0.18440907630527362,0.21551383333890461,0.6750725237094377,0.09743832582154098
14,47,0.19506086013939034,0.2557231552945846,1.0423660578332385,0.1520447161635392
21,45,0.1073834909248636,0.1045510756845645,0.7996557048116919,0.11920563430362992
19,44,0.2705542278878515,0.34567565894078867,0.8055630398376052,0.12144319764179345
22,43,0.003974255677314516,-0.06764605423224061,0.8484470172337621,0.12938695713111154
29,40,0.17176121510811246,0.23212172545606213,0.7203869820758108,0.11390318300472274
31,40,0.03345662196266963,-0.0977178809988474,0.8845182239196117,0.13985461097564
26,40,0.20888026485365047,0.16739612031012174,0.8373354896853282,0.13239436565490317
25,38,0.008446955811997708,-0.09488161641341641,0.7072601945900001,0.11473275387560948
28,37,0.05361035556301978,0.1281510119851067,0.7515914441006966,0.12356087227752557
32,29,0.04289539623469922,0.13993787716182562,0.8780901854405115,0.16305725393532597
38,25,0.20851877820662754,0.041331680432529556,1.1141036925301333,0.22282073850602666
35,23,0.07684933610605152,0.06951097289117095,1.1322092145263145,0.23608194095697535
36,22,-0.03382619534390568,0.0682702936126291,0.8704428083099829,0.18557903027827763
34,21,0.11582039222436544,0.045218959973862105,0.7418182472983093,0.1618780128639987
40,21,0.045479746292437284,0.1591245418870805,1.0045072842534286,0.2192014602964695
42,17,-0.029727815551765055,0.3980184997480705,1.4091489830567143,0.3417688293749732
33,15,0.06953995278640247,-0.05692995757121008,0.6841556186425038,0.17664822114777665
37,15,-0.07358811565898016,-0.2048206058895776,0.8457586196793919,0.21837393659531049
41,10,0.07684296884836701,0.12208408678642782,0.9840354133816192,0.31117932045512503
39,10,-0.010131744813563695,0.030470061340591027,0.7341270820517698,0.23215136712969103
43,8,0.2832672728665572,0.21451613678801468,0.8023281041566658,0.28366582159286247
64,7,0.3949380216274868,0.40008468110948897,0.6718861002342362,0.2539490757972579
53,6,0.47000139022049314,0.45179942160854314,0.40532801302722393,0.16547446839547858
90,6,0.4444005816279049,0.5426712886701205,0.5433088619779476,0.22180491409636402
78,6,-0.21262578411020291,0.009567372047824024,0.659788409175267,0.26935749011367455
73,6,0.40884867582192513,0.418654483413599,0.6939070763329223,0.28328637765369286
71,6,-0.651774861247089,-0.7317440461892972,0.9133392358868546,0.3728691816643794
68,6,0.4415311409630256,0.4549682226920854,0.6099991109718605,0.24903109423873834
55,6,0.6510174897106636,0.8469008022273878,1.0752686748426639,0.43897659829386093
47,6,0.32567326609936914,0.5003075765802919,0.8840963262365444,0.36093081379145103
45,6,-0.2753107476054549,-0.3644483095017992,0.48509444678682123,0.19803897861423314
77,5,-0.44676832033129515,-0.7587706899433339,1.2552990818866003,0.5613868158383026
62,5,0.5230955921029332,0.6572584055416937,0.4857409680579836,0.21722996480684106
88,5,0.9189115028232498,1.0573474474434374,0.7564727133469095,0.33830488203348036
49,5,-0.0412380238520619,-0.23500307556552177,0.8029901070537143,0.3591080929263877
67,5,0.016821483603084286,-0.09615999179968682,0.8841841758117532,0.3954191843489411
72,5,0.6288966660798112,0.2351628290284024,0.9581432148571197,0.4284946721201412
46,5,-0.44162519120574517,-0.31648833549008804,0.9506540359170962,0.42514540947903073
61,5,0.13462342799433383,-0.1367092816588927,1.1812929947038615,0.5282902875004266
85,5,-0.12302970527565826,-0.1626936567035722,0.541283102186146,0.24206916231203746
