bout_phase,syllable,n,mean_DA,median_DA,std_DA,sem_DA
Short_Term-1,0,14,0.19572689558662276,0.16277804460719336,0.4437992604559222,0.11861034150926526
Short_Term-1,1,14,0.18252781720877623,0.16975714922355006,0.3710451200579744,0.09916597959223884
Short_Term-1,2,14,0.3586887575182947,0.3511306157301102,0.7645609457590142,0.20433750788129187
Short_Term-1,3,14,0.22417410485191616,0.1673673342462697,0.470694948240013,0.12579851642853018
Short_Term-1,4,14,0.31456053898735015,0.39331114967851843,0.5122914847310237,0.1369156584303732
Short_Term-1,5,14,0.08053571458685603,0.06373121841420899,0.43168976485354266,0.11537394267564026
Short_Term-1,6,14,0.3127179336593307,0.1537869862905857,0.5970750011410029,0.15957500631980664
Short_Term-1,7,14,0.07903986658040332,0.07116973084594175,0.348577426059824,0.09316123579138484
Short_Term-1,8,14,0.16710655378021944,0.14901944698822076,0.4530750252994828,0.12108939394104287
Short_Term-1,9,14,0.1412957495399519,0.14863463594783866,0.3592499905372857,0.09601359862802168
Short_Term-1,10,14,0.23946274604457746,0.29934736951225005,0.3815214368676054,0.10196589303344884
Short_Term-1,11,14,0.06941251790987998,0.14169152653042,0.37689357264304224,0.10072904429339001
Short_Term-1,12,14,0.21281777008320177,0.19584700057595505,0.4124141027201064,0.1102223052751738
Short_Term-1,13,14,0.16704655009380076,-0.09816542242865142,0.8203606462824972,0.2192506051415393
Short_Term-1,14,14,0.5538563756694477,0.5826206096007361,0.9840631755867587,0.2630019464276013
Short_Term-1,15,14,0.1184684667131405,0.09225590958180716,0.5856121873727148,0.15651144047628313
Short_Term-1,16,14,0.498974430366024,0.3228848568521924,1.0451420945825376,0.2793259741730815
Short_Term-1,17,14,0.3329472923474373,0.18219716985707457,0.6741832293523907,0.1801830471532488
Short_Term-1,18,14,0.22929299117319996,0.2479702782512142,0.4658891169308344,0.1245141039844175
Short_Term-1,19,14,0.5369364036959088,0.2907246340728845,1.0211388637130143,0.27291084088098205
Short_Term-1,20,14,0.14380486637702625,0.24091119572873282,0.37777648074810977,0.1009650114100449
Short_Term-1,21,14,0.19118875996507959,0.11586632144282116,0.5197831608490252,0.13891789309367591
Short_Term-1,22,11,0.23614806344466863,-0.06764605423224061,0.7092269006884823,0.21383995643730433
Short_Term-1,23,14,-0.039282640230366095,-0.030778340481146763,0.4018275954816676,0.10739294220311377
Short_Term-1,24,14,0.2719801932112193,0.15829727768264923,0.5307466614570789,0.14184801188189197
Short_Term-1,25,12,-0.02541202530252747,-0.143456687109458,0.6326096029918701,0.18261866228964924
Short_Term-1,26,13,0.1774339195865267,0.12047189723694045,0.6423687597333501,0.17816103853652318
Short_Term-1,27,14,0.3087376202673927,0.333605844147352,0.6190212522397475,0.16544038864377902
Short_Term-1,28,11,-0.06244828398192353,0.01398930494945034,0.6883254233653939,0.20753792390595832
Short_Term-1,29,13,-0.02989385868189078,0.19192332682779273,0.5629647048451141,0.1561383161227315
Short_Term-1,30,14,-0.05729651748985541,-0.18057872872925,0.46250109513821275,0.12360861707249508
Short_Term-1,31,12,0.11879580730634554,-0.20487091531034113,1.042914297418088,0.3010634251780213
Short_Term-1,32,11,0.3408338878452647,0.4349915225460213,0.8019087469979923,0.24178458453603432
Short_Term-1,33,4,-0.18085316686938083,-0.32911531352437146,0.9567308406539996,0.4783654203269998
Short_Term-1,34,11,0.05970745011970829,0.045218959973862105,0.8346805356976977,0.25166565061110086
Short_Term-1,35,7,0.25340445592882477,0.47949245829656634,1.5190930970228826,0.5741632218682087
Short_Term-1,36,12,0.20425735971007022,0.18957582634241513,0.7233017677162864,0.20879923514816506
Short_Term-1,37,5,0.4018190170572901,0.2319333931094686,0.6395399923720477,0.28601097945471915
Short_Term-1,38,11,0.7689857921594605,0.5070752936025676,1.326866447756882,0.40006528673829844
Short_Term-1,39,4,0.2304569635040314,0.030470061340591027,0.7142647288681041,0.35713236443405205
Short_Term-1,40,9,0.20158113825800902,0.1591245418870805,1.0887832343280839,0.36292774477602796
Short_Term-1,41,2,1.1487586917807924,1.1487586917807924,0.7149439052264986,0.5055416835536495
Short_Term-1,42,8,0.10783740348219722,0.04238718323597129,1.297370972190513,0.4586899060752477
Short_Term-1,43,2,0.6401331605662368,0.6401331605662368,0.7086503299442161,0.5010914537936395
Short_Term-1,45,4,-0.10476875593286056,-0.058471961195447286,0.5130917829102953,0.25654589145514767
Short_Term-1,46,3,-0.08950324733485053,-0.31648833549008804,0.7517284067969218,0.4340105980216913
Short_Term-1,48,2,0.3071574612012522,0.3071574612012522,0.5212056370988357,0.36854804038524147
Short_Term-1,49,3,-0.40922265111424166,-0.3981439060979575,0.47503424338188,0.27426114829081866
Short_Term-1,50,1,0.2404382656335406,0.2404382656335406,,
Short_Term-1,51,2,0.9621254940579869,0.9621254940579869,0.8129131739866808,0.5748164178418618
Short_Term-1,52,1,0.6643841566710824,0.6643841566710824,,
Short_Term-1,53,2,0.7381376384229854,0.7381376384229854,0.4056874296124917,0.2868643325211331
Short_Term-1,54,2,0.1189595213392456,0.1189595213392456,0.27605994225937885,0.19520385718557354
Short_Term-1,56,2,1.2477138112320256,1.2477138112320256,0.2315202146390183,0.16370951375301482
Short_Term-1,59,2,0.22914953648319092,0.22914953648319092,0.6700956815196643,0.47382920044637566
Short_Term-1,61,2,0.8103407005004808,0.8103407005004808,1.3393309290149837,0.9470499821593734
Short_Term-1,62,2,0.659848074381132,0.659848074381132,0.7327471414996378,0.5181304726494526
Short_Term-1,64,2,0.3472036622804958,0.3472036622804958,1.1085242331180931,0.7838450023474208
Short_Term-1,65,2,-0.685738717178803,-0.685738717178803,0.06513148938271161,0.046054917811295004
Short_Term-1,67,1,-0.8887859162485297,-0.8887859162485297,,
Short_Term-1,68,2,1.0701033516640381,1.0701033516640381,0.3766241163932082,0.26631346666002903
Short_Term-1,69,2,0.5282109550460959,0.5282109550460959,0.7099607954565512,0.5020180928439227
Short_Term-1,71,2,-1.4937440838869303,-1.4937440838869303,0.5356812849955925,0.37878386917510704
Short_Term-1,72,2,1.55315555921071,1.55315555921071,0.8270397791288696,0.5848054361330481
Short_Term-1,73,2,0.11473463970003905,0.11473463970003905,1.098279696208391,0.7766010208284545
Short_Term-1,75,2,-0.06274395991270598,-0.06274395991270598,0.5293341154836009,0.37429574257183723
Short_Term-1,76,2,-0.10781259833834711,-0.10781259833834711,1.57143013739825,1.1111689063152106
Short_Term-1,77,2,0.08748373504345508,0.08748373504345508,1.4389025794146015,1.0174577713708794
Short_Term-1,80,2,-0.3439764189548597,-0.3439764189548597,0.6728796610986518,0.4757977712853626
Short_Term-1,85,2,0.01160779272044829,0.01160779272044829,0.6385612567867897,0.4515309948769432
Short_Term-1,86,2,0.4495500396921915,0.4495500396921915,1.525215773208985,1.0784904160087565
Short_Term-1,88,4,1.1677285699248137,1.1895174018999457,0.5918347760800754,0.2959173880400377
Short_Term-1,91,2,0.5624054273960054,0.5624054273960054,0.18893944951071515,0.13360036598268
Short_Term-1,93,2,-0.500464667990679,-0.500464667990679,0.15542198384707015,0.10989993872372934
Short_Term-1,95,2,-0.28130013645881025,-0.28130013645881025,1.0087261071676343,0.7132770707381423
Short_Term-2,0,14,-0.11429891959668123,0.11921220933378096,0.625763045445561,0.1672422086686815
Short_Term-2,1,14,-0.09309025446308591,-0.07604542311504542,0.58284614921294,0.15577218568252454
Short_Term-2,2,14,-0.10781635542229392,-0.016586064790175076,0.794333193267993,0.21229447572506563
Short_Term-2,3,14,-0.016668831596671964,0.1173675120317519,0.5208265417365588,0.13919674836546586
Short_Term-2,4,14,-0.17178840465021966,0.012686604560109862,0.6884848755154984,0.18400532286819302
Short_Term-2,5,14,-0.23855062718351955,-0.09223922412064445,0.7340305230530555,0.19617790919278608
Short_Term-2,6,14,-0.020609579711694193,0.22032895398912047,0.7574547398798988,0.2024382944727541
Short_Term-2,7,14,-0.20738218841185999,-0.11365673755005051,0.5277487276750693,0.14104678037614088
Short_Term-2,8,14,-0.046327082178047874,0.07815960480845481,0.7545209955476871,0.2016542183190737
Short_Term-2,9,14,0.027254909492069594,0.24437087630238874,0.7160508084607966,0.19137262834162802
Short_Term-2,10,14,-0.000751543289797025,0.1652056193481636,0.5916810283353179,0.15813340644891744
Short_Term-2,11,14,-0.2935556925019314,-0.2674077474244609,0.6351121857948191,0.16974087152923778
Short_Term-2,12,14,-0.05409766050406632,0.011602626883081231,0.6135649703196079,0.1639821359615782
Short_Term-2,13,13,-0.0626465475556546,0.04478144579681641,0.7799127027441303,0.21630886462535895
Short_Term-2,14,9,0.010423781314869922,0.13763027280535636,1.3039310539625426,0.43464368465418085
Short_Term-2,15,13,-0.12385678208606617,0.017260247639029332,0.5033026230720866,0.1395910318893795
Short_Term-2,16,11,0.05777492109178298,0.11312755827105461,0.7547610624325538,0.2275690227689807
Short_Term-2,17,12,-0.07557225019330596,-0.06334584242931068,0.606535349694812,0.17509167370966178
Short_Term-2,18,14,-0.3229789363441144,-0.13746744786950857,0.9105881735447855,0.2433649261323456
Short_Term-2,19,9,0.0060353413554315016,0.38447880353080643,0.6582483679197068,0.21941612263990226
Short_Term-2,20,14,-0.2964901914358435,-0.01057140367237655,0.8416187773977003,0.22493207966412562
Short_Term-2,21,11,-0.3648964054158007,-0.1319966198625728,0.8799964135232528,0.26532890186500563
Short_Term-2,22,7,-0.12051535193098555,-0.1096993010541011,0.7979195114068474,0.3015852276326691
Short_Term-2,23,14,-0.34182076223931246,-0.27336990711925074,1.0573792455051245,0.2825964903261219
Short_Term-2,24,12,0.04661834907154696,0.0943627751302363,0.8581228719325487,0.24771873555401588
Short_Term-2,25,8,-0.4146823860927791,-0.39108471124984256,0.5808468033064146,0.20536035672424724
Short_Term-2,26,11,0.049969003732667015,0.1182390247052771,1.092813240816237,0.329495589610887
Short_Term-2,27,13,0.20372350562993846,0.4851617578010443,0.7596411030518457,0.21068653446180416
Short_Term-2,28,10,0.3902314501997078,0.172396868156162,0.5358922089993063,0.16946399607767904
Short_Term-2,29,9,0.16116994868876275,0.2206158810294874,0.6417614576465741,0.21392048588219137
Short_Term-2,30,14,-0.19520488610440195,-0.20913268873089075,0.8565395948137553,0.22891983585708903
Short_Term-2,31,10,0.08668676292480292,-0.051444991178429884,0.7561810921106578,0.23912545746232605
Short_Term-2,32,4,-0.8019627827746255,-0.8074693535298704,0.8402148604442765,0.42010743022213826
Short_Term-2,33,6,0.1260072433131465,-0.09029565774761569,0.5453776730632656,0.22264950268523778
Short_Term-2,34,1,-0.2574433984337328,-0.2574433984337328,,
