bout_phase,n,mean_DA,median_DA,std_DA,sem_DA
Short_Term-1,14,0.09845607823249712,0.1163918991586467,0.2521923554053386,0.06740124210645031
Short_Term-2,14,-0.15206256691969075,-0.16061540463359308,0.5534599594309869,0.1479183961063256
Novel-1,14,-0.05680080360037511,-0.11709751538559104,0.4855994660390943,0.1297819163656185
Long_Term-1,13,-0.0415391278032028,0.09082659500476695,0.433073521278664,0.12011298361661293
