bout_phase_window,n,mean_DA,median_DA
Long_Term-1,13,-0.041539127803202805,0.09082659500476695
Novel-1,14,-0.05680080360037511,-0.11709751538559104
Short_Term-1,14,0.09845607823249711,0.1163918991586467
Short_Term-1 (10 min),14,0.09967279746564704,0.11814385973306257
Short_Term-1 (5 min),14,0.28258348897104857,0.3188046874622871
Short_Term-2,14,-0.1520625669196908,-0.16061540463359308
