hmm_state_smoothed,,Approach,Investigation
0,0.9926967811739248,0.0067622396537733295,0.0005409791723018664
1,0.953648680770145,0.004040884240551462,0.04231043498930354
2,0.9656274980015987,0.004796163069544364,0.029576338928856916
3,0.9865260691271236,0.007322788517867604,0.006151142355008787
