state,n_frames,fraction_frames,mean_DA,median_DA,distance_head_res__head_int_mean,distance_head_res__hind_int_mean,distance_head_int__hind_res_mean,distance_hind_res__hind_int_mean,velocity_resident_mean,velocity_intruder_mean,manual_mode,manual_count
0,3118,0.20706601142249967,0.08779314214677929,-0.15240452589351805,15.936803526446681,15.590447426500507,15.236653476840036,16.116389639483167,2.0026267668043136,4.927973192833481,,3118
1,2920,0.19391685482799842,0.021610692751416884,-0.2392043085327129,27.248999256171484,24.40137887072033,27.21838110787481,24.406372215956345,0.8770340616566541,2.7607410588314023,,2920
2,3541,0.23515739141984326,0.004420283057960827,-0.2160833874837234,15.393884252277799,14.401126356038356,17.415610561801348,15.350061422268675,2.0362933222900192,3.7562240084315417,,3541
3,5479,0.3638597423296587,0.03488858291245857,-0.2113909314661994,10.28194378220692,10.66970060921215,11.009125028947947,11.434972685754765,1.6021761109004529,4.862614731969773,,5479
