transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
17,16,17,185.8,3,0,Investigation,3.2438915296393653
59,58,59,190.0,0,3,Investigation,3.854256454983243
65,64,65,190.6,3,1,Investigation,2.958320040975042
92,91,92,193.3,1,0,Investigation,4.773477683030039
102,101,102,194.3,0,1,Investigation,3.432958817876417
111,110,111,195.2,1,0,Investigation,4.526044448005269
116,115,116,195.7,0,3,Investigation,2.6874513071794173
145,144,145,198.6,3,0,Investigation,6.714550819468728
157,156,157,199.8,0,1,Investigation,12.306696394763646
173,172,173,201.4,1,2,Investigation,2.7541106199512635
192,191,192,203.3,2,3,Investigation,4.298545559114718
197,196,197,203.8,3,0,Investigation,2.01873431472202
200,199,200,204.1,0,3,Investigation,1.5742188479911998
207,206,207,204.8,3,0,Investigation,2.862717388099587
213,212,213,205.4,0,3,Investigation,0.96611200205814
219,218,219,206.0,3,1,Investigation,0.0453009948263059
231,230,231,207.2,1,2,Investigation,2.488870694878061
248,247,248,208.9,2,3,Investigation,4.144995900395417
266,265,266,210.7,3,0,Investigation,3.134443638113467
286,285,286,212.7,0,1,Investigation,0.0990649479020487
299,298,299,214.0,1,0,Investigation,0.6202485215903701
304,303,304,214.5,0,1,Investigation,1.9180396445569423
312,311,312,215.3,1,2,Investigation,-0.188671160634187
321,320,321,216.2,2,3,Investigation,1.9343101996007737
325,324,325,216.6,3,0,Investigation,1.139315248847962
331,330,331,217.2,0,3,Investigation,0.968784827546904
341,340,341,218.2,3,2,Investigation,1.5847790420707664
358,357,358,219.9,2,3,Investigation,2.6035924721782826
382,381,382,222.3,3,2,Investigation,-0.009333493413242
409,408,409,225.0,2,3,Investigation,2.2176088263861464
419,418,419,226.0,3,0,Investigation,0.0852812326357157
423,422,423,226.4,0,3,Investigation,2.1209580213129664
430,429,430,227.1,3,2,Investigation,1.397326669593177
448,447,448,228.9,2,3,Investigation,-0.0628832525840632
467,466,467,230.8,3,0,Investigation,0.976435863749463
473,472,473,231.4,0,1,Investigation,0.7470836233271527
478,477,478,231.9,1,2,Investigation,-0.155964448055477
495,494,495,233.6,2,3,Investigation,1.996228640416331
503,502,503,234.4,3,0,Investigation,0.9278019178302092
510,509,510,235.1,0,3,Investigation,0.5718565845979496
517,516,517,235.8,3,0,Investigation,0.7765315393463806
526,525,526,236.7,0,3,Investigation,2.9605664763852952
593,592,593,243.4,3,2,Investigation,-0.2309845775809281
635,634,635,247.6,2,3,Investigation,0.0593921408826962
643,642,643,248.4,3,0,Investigation,-0.0221303573433633
660,659,660,250.1,0,1,Investigation,-0.0931707488859182
668,667,668,250.9,1,0,Investigation,1.1534306967279937
692,691,692,253.3,0,3,Aggression,-0.4326077504494896
704,703,704,254.5,3,2,,1.0382227422126007
726,725,726,256.7,2,3,,3.5708445665129447
756,755,756,259.7,3,2,,2.239353370211291
767,766,767,260.8,2,3,,2.771817349236352
778,777,778,261.9,3,2,,0.0926208326678262
787,786,787,262.8,2,3,,0.9705320205969988
798,797,798,263.9,3,2,,0.2229948554115868
829,828,829,267.0,2,3,Approach,2.054973249252805
847,846,847,268.8,3,0,,0.0363427366166015
850,849,850,269.1,0,1,,0.0092771783953084
872,871,872,271.3,1,0,,-0.4426056853405665
877,876,877,271.8,0,1,,-0.1374390003927321
889,888,889,273.0,1,2,,-0.1989752276310989
923,922,923,276.4,2,3,,2.348405149754818
937,936,937,277.8,3,0,,0.1933897227079345
968,967,968,280.9,0,3,,0.0941124244962473
975,974,975,281.6,3,2,,-0.7952114877267238
980,979,980,282.1,2,3,,-0.5803242973416083
997,996,997,283.8,3,2,,-0.9295681043513192
1035,1034,1035,287.6,2,3,,-0.6458739029432211
1038,1037,1038,287.9,3,1,,-0.2582390034337551
1045,1044,1045,288.6,1,3,,-0.6115393546302262
1055,1054,1055,289.6,3,2,,-0.3420212769842559
1063,1062,1063,290.4,2,3,,0.0130232906674767
1070,1069,1070,291.1,3,0,,0.8589893480741978
1080,1079,1080,292.1,0,3,,3.2218403406012213
1096,1095,1096,293.7,3,2,,0.0891197204772888
1113,1112,1113,295.4,2,3,,0.3252296054454319
1120,1119,1120,296.1,3,0,,-0.3001265294463019
1141,1140,1141,298.2,0,3,,-0.1657164028834531
1153,1152,1153,299.4,3,2,,0.7084270154784814
1178,1177,1178,301.9,2,0,,-0.6686259407665708
1201,1200,1201,304.2,0,3,,-0.2921099575729347
1211,1210,1211,305.2,3,2,,-0.1496212859023857
1222,1221,1222,306.3,2,3,,-0.2267050716870159
1232,1231,1232,307.3,3,1,,-0.4652698802881669
1266,1265,1266,310.7,1,2,,-0.8240504662465773
1274,1273,1274,311.5,2,1,,-0.2506960479530919
1280,1279,1280,312.1,1,3,,-0.6743166466520295
1326,1325,1326,316.7,3,0,,0.0836705925904782
1342,1341,1342,318.3,0,3,,-1.0228728682501336
1358,1357,1358,319.9,3,2,,-0.6797917196273089
1392,1391,1392,323.3,2,1,,-1.1938584386697204
1397,1396,1397,323.8,1,0,,-1.150785708707137
1427,1426,1427,326.8,0,3,,-0.8536472938865161
1436,1435,1436,327.7,3,2,,0.7408215136354445
1442,1441,1442,328.3,2,3,,0.7191314785250602
1457,1456,1457,329.8,3,2,,0.1911985131460722
1497,1496,1497,333.8,2,3,,-0.9976172521571576
1519,1518,1519,336.0,3,2,,3.0522949330771887
1541,1540,1541,338.2,2,3,,-0.5955578711016208
1544,1543,1544,338.5,3,1,,-0.5712479287209925
1560,1559,1560,340.1,1,2,,0.6278563411519165
1573,1572,1573,341.4,2,3,,1.5786965992453488
1581,1580,1581,342.2,3,0,,0.4570521789039339
1595,1594,1595,343.6,0,3,,-0.840750880492602
1604,1603,1604,344.5,3,1,,-0.8783097152575999
1610,1609,1610,345.1,1,2,,0.513202641758163
1650,1649,1650,349.1,2,1,,-0.3174276329367441
1672,1671,1672,351.3,1,3,,-0.265125825680694
1703,1702,1703,354.4,3,0,,-0.0710871129508868
1720,1719,1720,356.1,0,3,,0.3861857958495377
1729,1728,1729,357.0,3,0,,-0.3867719124718546
1737,1736,1737,357.8,0,1,,-1.0305888801006042
