state,example_rank,duration_rank_within_state,start_frame,mid_frame,end_frame,n_frames,start_time_s,mid_time_s,end_time_s,duration_s,manual_mode,manual_count,mean_DA
0,1,1,9380,9422,9464,85,1193.6,1197.8,1202.0,8.400000000000091,,85,0.15726458650201824
0,2,2,6010,6044,6077,68,852.6,856.0,859.3,6.699999999999932,,68,-0.09056647779540675
0,3,3,7878,7908,7937,60,1039.4,1042.4,1045.3,5.899999999999864,,60,-0.3895295701151006
0,4,4,3146,3173,3200,55,498.7,501.4,504.1,5.400000000000034,,55,-0.38256823764734
0,5,5,2817,2840,2863,47,465.8,468.1,470.4,4.599999999999966,,47,-0.20981111247591416
0,6,6,2241,2263,2284,44,408.2,410.4,412.5,4.300000000000011,,44,-0.2811313461123525
0,7,7,14621,14643,14664,44,1726.5,1728.7,1730.8,4.2999999999999545,,44,0.055119988760035786
0,8,8,17,38,58,42,185.8,187.9,189.9,4.099999999999994,Investigation,42,3.2336667537848705
0,9,9,3894,3915,3935,42,573.5,575.6,577.6,4.100000000000023,,42,-0.27458573390770524
0,10,10,7771,7792,7812,42,1028.7,1030.8,1032.8,4.099999999999909,,42,-0.43404824476380893
1,1,1,4031,4082,4132,102,587.2,592.3,597.3,10.099999999999909,,102,-0.384097008109219
1,2,2,4142,4185,4228,87,598.3,602.6,606.9,8.600000000000023,,87,-0.5167167307095416
1,3,3,2864,2906,2947,84,470.5,474.7,478.8,8.300000000000011,,84,-0.36893859404850166
1,4,4,11416,11456,11495,80,1397.2,1401.2,1405.1,7.899999999999864,,80,-0.32829842066463233
1,5,5,11208,11240,11271,64,1376.4,1379.6,1382.7,6.2999999999999545,,64,-0.4608799835607439
1,6,6,11661,11693,11724,64,1421.7,1424.9,1428.0,6.2999999999999545,,64,-0.43458249728589
1,7,7,13744,13776,13807,64,1638.8,1642.0,1645.1,6.2999999999999545,,64,-0.11503811016167696
1,8,8,14798,14829,14860,63,1744.2,1747.3,1750.4,6.2000000000000455,,63,0.18685033477156524
1,9,9,11778,11806,11833,56,1433.4,1436.2,1438.9,5.5,,56,-0.6628054937794128
1,10,10,10740,10765,10790,51,1329.6,1332.1,1334.6,5.0,Aggression,51,-0.3124474297941475
2,1,1,3347,3396,3445,99,518.8,523.7,528.6,9.800000000000068,,99,-0.5579897357104133
2,2,2,4392,4425,4458,67,623.3,626.6,629.9,6.600000000000023,,67,-0.2481387735753657
2,3,3,7708,7737,7765,58,1022.4,1025.3,1028.1,5.699999999999932,,58,-0.40203643670505584
2,4,4,7354,7380,7405,52,987.0,989.6,992.1,5.100000000000023,,52,0.03485197215550169
2,5,5,9757,9783,9808,52,1231.3,1233.9,1236.4,5.100000000000136,,52,0.3271287701182758
2,6,6,8346,8370,8394,49,1086.2,1088.6,1091.0,4.7999999999999545,,49,-0.6858983512405364
2,7,7,14752,14775,14797,46,1739.6,1741.9,1744.1,4.5,,46,0.5710835001418094
2,8,8,8798,8820,8842,45,1131.4,1133.6,1135.8,4.399999999999864,,45,-0.5570913356230777
2,9,9,4576,4598,4619,44,641.7,643.9,646.0,4.2999999999999545,,44,-0.21049454436776693
2,10,10,9904,9925,9946,43,1246.0,1248.1,1250.2,4.2000000000000455,,43,-0.08564616981445115
3,1,1,10124,10265,10405,282,1268.0,1282.1,1296.1,28.09999999999991,,282,-0.25768137352855375
3,2,2,14307,14352,14396,90,1695.1,1699.6,1704.0,8.900000000000091,,90,0.009087441286332562
3,3,3,10898,10940,10981,84,1345.4,1349.6,1353.7,8.299999999999955,,84,-0.06296048019754837
3,4,4,7181,7215,7249,69,969.7,973.1,976.5,6.7999999999999545,,69,-0.3283407376572533
3,5,5,526,559,592,67,236.7,240.0,243.3,6.600000000000023,Investigation,67,1.8520734515351502
3,6,6,4887,4917,4946,60,672.8,675.8,678.7,5.900000000000091,,60,-0.45083000728881834
3,7,7,5715,5744,5772,58,755.6,758.5,761.3,5.699999999999932,,58,-0.27982838506938257
3,8,8,10501,10530,10558,58,1305.7,1308.6,1311.4,5.7000000000000455,,58,0.2623923580125635
3,9,9,5457,5485,5512,56,729.8,732.6,735.3,5.5,,56,0.2381363258977241
3,10,10,4459,4486,4513,55,630.0,632.7,635.4,5.399999999999977,,55,-0.2116558796609653
