hmm_state_smoothed,,Aggression,Approach,Investigation
0,0.9185375240538807,0.021808851828094934,0.001924310455420141,0.05772931366260423
1,0.9267123287671233,0.025,0.005479452054794521,0.04280821917808219
2,0.9220559164077944,0.00931940129906806,0.00875458909912454,0.05987009319401299
3,0.9299142179229787,0.012411023909472532,0.0012776054024457018,0.05639715276510312
